make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,url
Mercedes-Benz,CLA,2019,Sedan,171 800 km,4,5,Negru,Benzina,1 991 cm3,190 CP,Automata,4x4 (automat),Euro 6,26 600,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-cla-ver-220-4matic-8g-dct-amg-line-advanced-plus-ID7HISIX.html
Volvo,XC 60,2019,SUV,92 700 km,5,5,Negru,Hibrid Plug-In,1 969 cm3,390 CP,Automata,4x4 (automat),Euro 6b,"28 497,92",https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-recharge-t8-twin-engine-eawd-inscription-ID7HGvvW.html
Volkswagen,Passat CC,2013,Sedan,198 000 km,4,5,Maro,Diesel,1 968 cm3,143 CP,Automata,Fata,Euro 5,10 450,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-cc-ver-2-0-blue-tdi-dsg-exclusive-ID7HJ2Wj.html
Volvo,V60,2019,Combi,179 000 km,5,5,Gri,Diesel,1 969 cm3,150 CP,Automata,Fata,Euro 6,17 590,https://www.autovit.ro/autoturisme/anunt/volvo-v60-ver-d3-geartronic-inscription-ID7HJ6jz.html
BMW,X3,2012,SUV,220 354 km,5,5,Negru,Diesel,1 995 cm3,184 CP,Automata,4x4 (automat),Euro 5,12 990,https://www.autovit.ro/autoturisme/anunt/bmw-x3-ver-xdrive20d-aut-ID7HJ4lA.html
Mercedes-Benz,GLE,2016,SUV,147 000 km,5,5,Alb,Benzina,2 996 cm3,367 CP,Automata,4x4 (automat),Euro 6,39 500,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gle-ver-450-amg-4matic-9g-tronic-ID7HJ6il.html
Volkswagen,Passat Alltrack,2018,Combi,153 757 km,5,5,Alb,Diesel,1 968 cm3,190 CP,Automata,4x4 (automat),Euro 6,19 500,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-alltrack-ver-2-0-tdi-scr-4motion-dsg-bmt-ID7HHdG9.html
Cupra,Formentor,2025,SUV,2 900 km,5,5,Verde,Benzina,1 984 cm3,333 CP,Automata,4x4 (automat),Euro 6,54 950,https://www.autovit.ro/autoturisme/anunt/cupra-formentor-ID7HBuWP.html
Volkswagen,Tiguan,2023,SUV,130 254 km,5,5,Rosu,Diesel,1 968 cm3,150 CP,Automata,4x4 (automat),Euro 6,25 900,https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-ID7HIUEc.html
Volkswagen,Polo,2020,Compacta,100 000 km,5,5,Alb,Benzina,999 cm3,80 CP,Manuala,Fata,Euro 6,10 490,https://www.autovit.ro/autoturisme/anunt/volkswagen-polo-ver-1-0-trendline-ID7HGLEz.html
Dacia,Duster,2020,SUV,27 663 km,5,5,Alb,Diesel,1 461 cm3,115 CP,Manuala,4x4 (automat),Euro 6,15 750,https://www.autovit.ro/autoturisme/anunt/dacia-duster-ver-1-5-blue-dci-4wd-comfort-ID7HGTMx.html
BMW,X3,2020,SUV,98 299 km,5,5,Gri,Hibrid Plug-In,1 998 cm3,292 CP,Automata,4x4 (automat),Euro 6,"31 989,99",https://www.autovit.ro/autoturisme/anunt/bmw-x3-ver-xdrive30e-at-phev-ID7HHKCw.html
Mercedes-Benz,CLE,2024,Coupe,5 106 km,2,4,Albastru,Benzina,2 999 cm3,449 CP,Automata,4x4 (automat),Euro 6,"92 898,96",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-cle-ver-amg-53-4maticplus-coupe-aut-mhev-ID7HHKBP.html
Renault,Trafic,2015,Monovolum,217 000 km,4,8,Verde,Diesel,1 598 cm3,145 CP,Manuala,Fata,Euro 6,12 000,https://www.autovit.ro/autoturisme/anunt/renault-trafic-ID7HJ5aV.html
Mercedes-Benz,GLE Coupe,2020,SUV,135 620 km,5,5,Gri,Hibrid Plug-In,1 950 cm3,319 CP,Automata,4x4 (manual),Euro 6,56 900,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gle-coupe-ver-350-de-4matic-9g-tronic-amg-line-ID7HG7MZ.html
Nissan,X-Trail,2014,SUV,153 000 km,5,5,Alb,Diesel,1 598 cm3,130 CP,Manuala,4x4 (manual),Euro 5,11 650,https://www.autovit.ro/autoturisme/anunt/nissan-x-trail-ver-1-6-dci-all-mode-4x4i-tekna-ID7HIUAY.html
Mercedes-Benz,E,2019,Sedan,105 534 km,4,5,Negru,Hibrid Plug-In,1 991 cm3,320 CP,Automata,Spate,Euro 6d-Temp,"31 987,56",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-e-ver-300-9g-tronic-avantgarde-ID7HHerA.html
BMW,X1,2012,SUV,149 598 km,5,5,Negru,Diesel,1 995 cm3,184 CP,Automata,4x4 (manual),Euro 5,12 990,https://www.autovit.ro/autoturisme/anunt/bmw-x1-ver-xdrive20d-aut-sport-line-ID7HIgea.html
Skoda,Octavia,2019,Combi,173 800 km,5,5,Argint,Benzina,1 495 cm3,150 CP,Automata,Fata,Euro 6,12 990,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ver-combi-1-5-tsi-dsg-ambition-ID7HGDVm.html
Volkswagen,Golf,2020,Combi,206 835 km,5,5,Albastru,Benzina,1 498 cm3,150 CP,Automata,Fata,Euro 6,"13 689,99",https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ver-variant-1-5-tsi-act-opf-dsg-highline-ID7HHKym.html
Mercedes-Benz,GLC Coupe,2024,SUV,15 500 km,5,5,Alb,Diesel,1 993 cm3,197 CP,Automata,4x4 (automat),Euro 6d,"60 487,90",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-glc-coupe-ver-220-d-4matic-9g-tronic-avantgarde-advanced-ID7HHKvS.html
BMW,X5,2023,SUV,42 575 km,5,5,Gri,Benzina,2 998 cm3,381 CP,Automata,4x4 (automat),Euro 6,"79 999,15",https://www.autovit.ro/autoturisme/anunt/bmw-x5-ver-xdrive40i-at-mhev-ID7HJ598.html
Hyundai,Tucson,2018,SUV,150 000 km,5,5,Negru,Diesel,1 685 cm3,141 CP,Automata,Fata,Euro 6,14 650,https://www.autovit.ro/autoturisme/anunt/hyundai-tucson-ver-blue-1-7-crdi-2wd-dct-premium-ID7HISSL.html
Renault,Megane,2016,Combi,192 000 km,5,5,Gri,Diesel,1 461 cm3,110 CP,Manuala,Fata,Euro 6d-Temp,6 790,https://www.autovit.ro/autoturisme/anunt/renault-megane-ver-dci-110-fap-limited-ID7HJ3IQ.html
Mercedes-Benz,CLA,2021,Coupe,56 500 km,4,5,Negru,Hibrid Plug-In,1 332 cm3,218 CP,Automata,Fata,Euro 6,"33 498,85",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-cla-ver-250-e-8g-dct-amg-line-ID7HJ56D.html
Toyota,C-HR,2017,SUV,189 000 km,5,5,Alb,Hibrid,1 798 cm3,122 CP,Automata,Fata,Euro 6,16 999,https://www.autovit.ro/autoturisme/anunt/toyota-c-hr-ver-hybrid-lounge-ID7HJ3Hs.html
Nissan,Qashqai,2016,SUV,179 000 km,5,5,Gri,Diesel,1 598 cm3,130 CP,Manuala,4x4 (manual),Euro 6,9 999,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-ver-1-6l-dci-start-stop-4x4-i-n-connecta-ID7HIS8W.html
Renault,Talisman,2020,Compacta,129 709 km,5,5,Rosu,Diesel,1 997 cm3,160 CP,Automata,Fata,Euro 6d-Temp,14 950,https://www.autovit.ro/autoturisme/anunt/renault-talisman-ID7HG53H.html
Toyota,Corolla,2020,Combi,132 800 km,5,5,Albastru,Hibrid,1 798 cm3,122 CP,Automata,Fata,Euro 6,"17 999,96",https://www.autovit.ro/autoturisme/anunt/toyota-corolla-ver-1-8-hybrid-touring-sports-business-edition-ID7HJ5iO.html
Volkswagen,Golf,2010,Compacta,198 000 km,3,5,Albastru,Benzina,1 390 cm3,80 CP,Manuala,Fata,Euro 5,2 950,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ver-1-4-trendline-ID7HHYeB.html
Opel,Mokka,2014,SUV,203 114 km,5,5,Rosu,Diesel,1 686 cm3,130 CP,Manuala,4x4 (automat),Euro 5,7 100,https://www.autovit.ro/autoturisme/anunt/opel-mokka-ID7HI89d.html
Renault,Talisman,2017,Combi,96 492 km,5,5,Alte culori,Diesel,1 598 cm3,160 CP,Automata,Fata,Euro 6,14 990,https://www.autovit.ro/autoturisme/anunt/renault-talisman-ver-grandtour-energy-dci-160-edc-initiale-paris-ID7HJ4ZR.html
BMW,X5,2022,SUV,139 944 km,5,5,Negru,Hibrid Plug-In,2 998 cm3,398 CP,Automata,4x4 (automat),Euro 6,"51 299,99",https://www.autovit.ro/autoturisme/anunt/bmw-x5-ID7HEXPP.html
Volkswagen,Touareg,2021,SUV,153 900 km,5,5,Gri,Hibrid Plug-In,2 995 cm3,381 CP,Automata,4x4 (automat),Euro 6,42 400,https://www.autovit.ro/autoturisme/anunt/volkswagen-touareg-ver-3-0-v6-e-hybrid-4motion-aut-elegance-ID7HGIs1.html
Mazda,CX-3,2018,SUV,179 000 km,5,5,Alb,Benzina,1 998 cm3,150 CP,Automata,4x4 (automat),Euro 6,13 989,https://www.autovit.ro/autoturisme/anunt/mazda-cx-3-ver-skyactiv-g-150-i-eloop-awd-drive-exclusive-line-ID7HIS9f.html
Volvo,XC 60,2015,SUV,237 000 km,5,5,Alb,Diesel,1 969 cm3,190 CP,Manuala,Fata,Euro 6,13 590,https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-d4-ocean-race-ID7HJ55R.html
Skoda,Scala,2020,Combi,165 000 km,5,5,Albastru,Diesel,1 598 cm3,115 CP,Automata,Fata,Euro 6,11 990,https://www.autovit.ro/autoturisme/anunt/skoda-scala-ver-1-6-tdi-dsg-monte-carlo-ID7HJ6gV.html
Kia,Sportage,2021,SUV,62 800 km,5,5,Albastru,Diesel,1 598 cm3,136 CP,Automata,4x4 (automat),Euro 6c,19 490,https://www.autovit.ro/autoturisme/anunt/kia-sportage-ver-1-6-dsl-mhev-7dct-hp-4x4-style-ID7HJ5Tm.html
Ford,Kuga,2020,SUV,131 000 km,5,5,Negru,Diesel,1 996 cm3,190 CP,Automata,4x4 (automat),Euro 6,18 000,https://www.autovit.ro/autoturisme/anunt/ford-kuga-ver-2-0-ecoblue-a8-awd-titanium-x-ID7HHK97.html
