make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price
Skoda,Octavia,2021.0,Sedan,110751.0,4.0,5.0,Gri,Benzina,1498.0,150.0,Manuala,Fata,Euro 6,17450.0
Bentley,Bentayga,2018.0,SUV,135567.0,5.0,5.0,Argint,Benzina,3996.0,550.0,Automata,4x4 (automat),Euro 6,99499.51
Ford,S-Max,2016.0,Monovolum,202400.0,5.0,5.0,Gri,Diesel,1998.0,210.0,Automata,Fata,Euro 5,12499.0
Suzuki,Vitara,2016.0,SUV,163322.0,5.0,5.0,Alb,Diesel,1598.0,120.0,Manuala,4x4 (manual),Euro 6,11450.0
Toyota,RAV4,2021.0,SUV,98630.0,5.0,5.0,Gri,Hibrid,2487.0,178.0,Automata,Fata,Euro 6d,26400.01
Seat,Alhambra,2013.0,Monovolum,215391.0,5.0,7.0,Gri,Diesel,1968.0,140.0,Automata,Fata,Euro 6,11450.0
Hyundai,Tucson,2016.0,SUV,166759.0,5.0,5.0,Negru,Benzina,1591.0,177.0,Manuala,4x4 (automat),Euro 6,13450.0
Peugeot,308,2015.0,Combi,190549.0,5.0,5.0,Gri,Diesel,1997.0,150.0,Automata,Fata,Euro 6,10599.6
Peugeot,3008,2017.0,SUV,172361.0,5.0,5.0,Gri,Benzina,1199.0,130.0,Automata,Fata,Euro 6,13699.0
Volkswagen,Golf,2012.0,Combi,252000.0,5.0,5.0,Negru,Diesel,1598.0,105.0,Manuala,Fata,Euro 5,5490.0
Audi,A7,2019.0,Sedan,214000.0,5.0,5.0,Albastru,Diesel,1968.0,204.0,Automata,4x4 (automat),Euro 6,32950.0
Dacia,Sandero,2015.0,Masina de oras,231854.0,5.0,5.0,Rosu,Diesel,1461.0,90.0,Manuala,Fata,Euro 6,6299.0
Audi,A3,2004.0,Compacta,299000.0,3.0,5.0,Negru,Diesel,1968.0,140.0,Automata,Fata,Euro 4,2300.0
Audi,A6,2020.0,Sedan,29000.0,4.0,5.0,Albastru,Benzina,1984.0,245.0,Automata,4x4 (automat),Euro 6,37994.0
Audi,Q3,2012.0,SUV,267757.0,5.0,5.0,Gri,Benzina,1984.0,170.0,Manuala,4x4 (automat),Euro 5,9998.23
Renault,Megane,2023.0,Combi,197000.0,5.0,5.0,Negru,Diesel,1461.0,115.0,Automata,Fata,Euro 6,13990.0
Renault,Scenic,2013.0,Monovolum,205000.0,5.0,2.0,Alte culori,Diesel,1461.0,110.0,Automata,Fata,Euro 5,5890.0
BMW,Seria 3,2021.0,Sedan,174000.0,4.0,5.0,Alb,Hibrid Plug-In,1998.0,292.0,Automata,4x4 (automat),Euro 6,26983.0
Mercedes-Benz,GLE,2021.0,SUV,132100.0,5.0,5.0,Alb,Hibrid Plug-In,1950.0,319.0,Automata,4x4 (automat),Euro 6d,61697.9
Audi,TT,2015.0,Coupe,192782.0,2.0,4.0,Negru,Benzina,1984.0,230.0,Automata,4x4 (automat),Euro 6,17490.0
Toyota,RAV4,2021.0,SUV,114548.0,5.0,5.0,Alb,Hibrid Plug-In,2487.0,306.0,Automata,4x4 (automat),Euro 6d,35999.92
BMW,X6,2024.0,SUV,24900.0,5.0,5.0,Negru,Diesel,2993.0,286.0,Automata,4x4 (automat),Euro 6,84900.0
BMW,X5,2023.0,SUV,22800.0,5.0,5.0,Gri,Diesel,2993.0,298.0,Automata,4x4 (automat),Euro 6d-Temp,74488.81
Volvo,XC 60,2022.0,SUV,129000.0,5.0,5.0,Alb,Diesel,1969.0,197.0,Automata,Fata,Euro 6,32307.0
Volkswagen,ARTEON,2022.0,Sedan,117000.0,5.0,5.0,Albastru,Diesel,1968.0,150.0,Automata,Fata,Euro 6,30976.0
Renault,Kadjar,2019.0,SUV,185000.0,5.0,5.0,Negru,Benzina,1332.0,159.0,Automata,Fata,Euro 6,14990.0
Toyota,Corolla,2020.0,Sedan,173577.0,4.0,5.0,Alb,Hibrid,1798.0,122.0,Automata,Fata,Euro 6,14899.94
Skoda,Scala,2022.0,Combi,117134.0,5.0,5.0,Albastru,Benzina,999.0,110.0,Manuala,Fata,Euro 6,11699.49
Mercedes-Benz,GLE,2024.0,SUV,20000.0,5.0,5.0,Alb,Hibrid Plug-In,1999.0,381.0,Automata,4x4 (automat),Euro 6d-Temp,96800.0
Opel,Astra,2018.0,Combi,225000.0,5.0,5.0,Gri,Diesel,1598.0,136.0,Automata,Fata,Euro 6,6300.0
Hyundai,Tucson,2023.0,SUV,190000.0,5.0,5.0,Alb,Hibrid Plug-In,1598.0,265.0,Automata,4x4 (automat),Euro 6,22950.0
Renault,Koleos,2017.0,SUV,99005.0,5.0,5.0,Alte culori,Diesel,1995.0,177.0,Automata,4x4 (automat),Euro 6b,19000.0
Volkswagen,Polo,2014.0,Masina mica,149500.0,5.0,5.0,Maro,Benzina,1198.0,60.0,Manuala,Fata,Euro 5,6499.0
Peugeot,5008,2020.0,SUV,159318.0,5.0,7.0,Alb,Diesel,1499.0,130.0,Automata,Fata,Euro 6,17490.01
Toyota,Corolla,2021.0,Compacta,134110.0,5.0,5.0,Alb,Hibrid,1798.0,122.0,Automata,Fata,Euro 6,19000.0
Mercedes-Benz,GLC,2021.0,SUV,132880.0,5.0,5.0,Gri,Diesel,1950.0,194.0,Automata,4x4 (automat),Euro 6,33889.99
Renault,Kadjar,2020.0,SUV,79000.0,5.0,5.0,Negru,Benzina,1332.0,140.0,Automata,Fata,Euro 6,14900.0
Peugeot,508,2019.0,Sedan,71000.0,4.0,5.0,Negru,Benzina,1598.0,180.0,Automata,Fata,Euro 6,18990.0
Audi,A3,2023.0,Compacta,25000.0,5.0,5.0,Argint,Benzina,1498.0,149.0,Manuala,Fata,Euro 6,21500.0
Peugeot,2008,2019.0,SUV,177000.0,5.0,5.0,Negru,Diesel,1499.0,120.0,Manuala,Fata,Euro 6,10790.0
BMW,Seria 3,2022.0,Combi,63000.0,5.0,5.0,Negru,Diesel,1995.0,150.0,Automata,Spate,Euro 6,28540.27
Maserati,Levante,2018.0,SUV,73415.0,5.0,5.0,Negru,Diesel,2987.0,275.0,Automata,4x4 (manual),Euro 6,45000.0
Peugeot,3008,2016.0,SUV,114900.0,5.0,5.0,Gri,Benzina,1199.0,130.0,Manuala,Fata,Euro 6,12590.0
