make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,apple_carplay,android_auto,bluetooth,wireless_charging,navigation,internet,usb_port,head_up_display,ac,climatronic,climatronic_2zone,climatronic_3zone,climatronic_4zone,panoramic_roof,electric_sunroof,manual_sunroof,rear_glass_sunroof,upholstery_alcantara,upholstery_leather_mix,upholstery_leather,upholstery_fabric,electric_driver_seat,heated_driver_seat,heated_passenger_seat,ventilated_front_seats,ventilated_rear_seats,memory_seat,front_armrest,sport_steering_wheel,paddle_shifters,keyless_entry,keyless_go,heated_windshield,air_suspension,sport_suspension,predictive_acc,cruise_control,adaptive_cruise,bi_xenon,laser_lights,led_lights,xenon,dynamic_lights,follow_me_home,front_park_sensors,rear_park_sensors,park_assist,auto_park,camera_360,rear_camera,folding_mirrors,blind_spot,lane_assist,distance_control,autonomous_driving,isofix,url
Volkswagen,Passat,2014,Combi,228 123 km,5,5,Negru,Diesel,1 968 cm3,140 CP,Automata,Fata,Euro 5,5300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ver-2-0-tdi-dsg-bluemotion-technology-comfortline-ID7HNx4B.html
Volkswagen,Polo,2012,Masina de oras,194 000 km,5,,Maro,Diesel,1 199 cm3,75 CP,Manuala,Fata,,3850,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/volkswagen-polo-ver-1-2-tdi-black-silver-edition-ID7HMgep.html
Ford,Focus,2020,Combi,198 688 km,5,5,Gri,Diesel,1 499 cm3,120 CP,Automata,Fata,Euro 6,8990,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/ford-focus-ID7Hr0RJ.html
Audi,A3,2010,Compacta,140 000 km,4,5,Gri,Benzina,1 390 cm3,125 CP,Automata,,,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/audi-a3-ID7HNx1Z.html
Skoda,RAPID,2017,Sedan,340 281 km,4,5,Alb,Diesel,1 596 cm3,116 CP,Manuala,Fata,Euro 6,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/skoda-rapid-ID7HNx2b.html
Mercedes-Benz,S,2021,Sedan,140 850 km,4,,Negru,Diesel,2 925 cm3,330 CP,Automata,4x4 (automat),,79950,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-s-ver-400-d-4matic-long-aut-ID7HNx0s.html
Volkswagen,Transporter,2021,SUV,299 000 km,4,3,Alb,Diesel,1 968 cm3,199 CP,Automata,4x4 (automat),Euro 6b,14999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/volkswagen-transporter-ver-cd-2-0-146-kw-lr-4m-dsg-ID7HNvXN.html
BMW,Seria 1,2009,Masina mica,158 000 km,5,5,Gri,Diesel,1 995 cm3,143 CP,Manuala,Spate,,2950,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/bmw-seria-1-ver-118d-dpf-ID7HLYPY.html
Nissan,Qashqai,2012,SUV,104 327 km,5,5,Rosu,Benzina,1 598 cm3,117 CP,Automata,Fata,,9700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-ID7HM94z.html
Honda,Civic,2019,Sedan,137 000 km,4,5,Negru,Benzina,1 498 cm3,182 CP,Manuala,Fata,Euro 6b,16000,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/honda-civic-ver-1-5-i-vtec-turbo-elegance-ID7HNvYc.html
